,atomic_number,atomic_weight,density,phase,melting_point,boiling_point,critical_temperature,critical_pressure,heat_of_fusion,heat_of_vaporization,specific_heat,adiabatic_index,neel_point,thermal_conductivity,thermal_expansion,density__liquid,molar_volume,brinell_hardness,mohs_hardness,vickers_hardness,bulk_modulus,shear_modulus,young_modulus,poisson_ratio,refractive_index,speed_sound,valence,electronegativity,electron_affinity,color,electrical_conductivity,electrical_resistivity,superconducting_point,curie_point,volume_magnetic_susceptibility,atomic_radius,covalent_radius,van_der_waals_radius,lattice_constants__1,lattice_constants__2,lattice_constants__3,decay_mode,neutron_cross_section,neutron_mass_absorption,isotopic_abundances
49,49,114.818,7.31,Solid,429.75,2345.15,,,3.26,230.0,233.0,,,82.0,3.21e-05,7.02,1.5707e-05,8.83,1.2,,,,11.0,,,1215.0,3.0,1.78,28.9,Silver,12000000.0,8.000000000001001e-08,3.41,,-1.02e-05,156.0,142.0,193.0,325.23, 325.23, 494.61,N/A,194.0,0.06,2
50,50,118.71,7.31,Solid,505.08,2875.15,,,7.0,290.0,217.0,,,67.0,2.2e-05,6.99,1.6239e-05,51.0,1.5,,58.0,18.0,50.0,0.36,,2500.0,4.0,1.96,107.3,Silver,9100000.0,1.1e-07,3.72,,-2.27e-05,145.0,139.0,217.0,583.18, 583.18, 318.19,N/A,0.62,0.0002,10
51,51,121.76,6.697,Solid,903.78,1860.15,,,19.7,67.0,207.0,,,24.0,1.1e-05,6.53,1.8181e-05,294.0,3.0,,42.0,20.0,55.0,,,3420.0,5.0,2.05,103.2,Silver,2500000.0,4e-07,,,-7.3e-05,133.0,139.0,,430.7, 430.7, 1127.3,N/A,5.4,0.0016,2
52,52,127.6,6.24,Solid,722.66,1261.15,,,17.5,48.0,201.0,,,3.0,,5.7,2.0449e-05,180.0,2.25,,64.0,16.0,43.0,,1.000991,2610.0,6.0,2.1,190.2,Silver,10000.0,0.0001,,,-2.43e-05,123.0,138.0,206.0,445.72, 445.72, 592.9,N/A,5.4,0.0013,8
53,53,126.90447,4.94,Solid,386.84999999999997,457.45,819.0,11.7,7.76,20.9,429.0,,,0.449,,,2.5689e-05,,,,7.7,,,,,,7.0,2.66,295.2,SlateGray,1e-07,10000000.0,,,-2.22e-05,115.0,139.0,198.0,718.02, 471.02, 981.03,N/A,6.3,0.0018,1
54,54,131.293,0.005900000000000001,Gas,161.34999999999997,165.14999999999998,289.77,5.841,2.3,12.64,158.32,1.6666666666666667,,0.00565,,,0.0223,,,,,,,,1.000702,1090.0,6.0,2.6,0.0,Colorless,,,,,-2.5400000000000002e-08,108.0,140.0,216.0,620.23, 620.23, 620.23,N/A,25.0,0.0083,9
55,55,132.90545196,1.879,Solid,301.59,944.15,1938.0,9.4,2.09,64.0,242.0,,,36.0,,1.843,7.0732e-05,0.14,0.2,,1.6,,1.7,,,,1.0,0.79,45.5,Silver,5000000.0,2e-07,,,5.26e-06,298.0,244.0,,614.1, 614.1, 614.1,N/A,29.0,0.0077,1
56,56,137.327,3.51,Solid,1000.15,2143.15,,,8.0,140.0,205.0,,,18.0,2.06e-05,3.338,3.9125e-05,,1.25,,9.4,4.9,13.0,,,1620.0,2.0,0.89,13.95,Silver,2900000.0,3.5e-07,,,3.966e-05,253.0,215.0,,502.8, 502.8, 502.8,N/A,1.3,0.00027,7
57,57,138.90547,6.146,Solid,1192.15,3737.15,,,6.3,400.0,195.0,,,13.0,1.21e-05,5.94,2.2601e-05,363.0,2.5,491.0,28.0,14.0,37.0,0.28,,2475.0,3.0,1.1,48.0,Silver,1600000.0,6.1e-07,4.88,,6.761e-05,,207.0,,377.2, 377.2, 1214.4,N/A,8.98,0.0023,2
58,58,140.116,6.689,Solid,1071.15,3633.15,,,5.5,350.0,192.0,,12.5,11.0,6.3e-06,6.55,2.0947e-05,412.0,2.5,270.0,22.0,14.0,34.0,0.24,,2100.0,4.0,1.12,50.0,Silver,1400000.0,7.5e-07,0.022,,0.0014716,,204.0,,362, 362, 599,N/A,0.6,0.00021,4
